Generation 1: Best Fitness: 93.207043, Mean Fitness: 57.295597
Generation 2: Best Fitness: 92.818216, Mean Fitness: 62.442493
Generation 3: Best Fitness: 92.658358, Mean Fitness: 74.466656
Generation 4: Best Fitness: 92.932142, Mean Fitness: 70.965902
Generation 5: Best Fitness: 92.690612, Mean Fitness: 72.274624
Generation 6: Best Fitness: 93.409567, Mean Fitness: 77.505311
Generation 7: Best Fitness: 93.202788, Mean Fitness: 77.646939
Generation 8: Best Fitness: 93.202788, Mean Fitness: 80.239752
Generation 9: Best Fitness: 93.318596, Mean Fitness: 79.109685
Generation 10: Best Fitness: 93.409567, Mean Fitness: 78.434259
Generation 11: Best Fitness: 93.409567, Mean Fitness: 75.221069
Generation 12: Best Fitness: 92.690612, Mean Fitness: 78.511106
Generation 13: Best Fitness: 93.067281, Mean Fitness: 78.022228
Generation 14: Best Fitness: 92.937405, Mean Fitness: 81.768374
Generation 15: Best Fitness: 93.207043, Mean Fitness: 79.013889
Generation 16: Best Fitness: 92.846708, Mean Fitness: 78.503588
Generation 1: Best Fitness: 92.448142, Mean Fitness: 60.187189, Standard Deviation Fitness: 33.555230
Generation 2: Best Fitness: 92.690612, Mean Fitness: 64.208096, Standard Deviation Fitness: 33.245045
Generation 3: Best Fitness: 92.629516, Mean Fitness: 68.459274, Standard Deviation Fitness: 31.582087
Generation 4: Best Fitness: 92.937405, Mean Fitness: 72.901999, Standard Deviation Fitness: 26.720981
Generation 5: Best Fitness: 92.932142, Mean Fitness: 71.792568, Standard Deviation Fitness: 26.552433
Generation 6: Best Fitness: 92.931940, Mean Fitness: 70.646701, Standard Deviation Fitness: 26.153661
Generation 7: Best Fitness: 93.882006, Mean Fitness: 74.295759, Standard Deviation Fitness: 29.071297
Generation 8: Best Fitness: 93.409567, Mean Fitness: 73.851999, Standard Deviation Fitness: 29.024937
Generation 9: Best Fitness: 93.409567, Mean Fitness: 77.819287, Standard Deviation Fitness: 23.828872
Generation 10: Best Fitness: 93.409567, Mean Fitness: 78.712078, Standard Deviation Fitness: 24.728737
Generation 11: Best Fitness: 93.202788, Mean Fitness: 75.109561, Standard Deviation Fitness: 24.648181
Generation 12: Best Fitness: 93.202788, Mean Fitness: 73.379563, Standard Deviation Fitness: 26.628594
Generation 13: Best Fitness: 93.202788, Mean Fitness: 75.687123, Standard Deviation Fitness: 27.690091
Generation 14: Best Fitness: 93.207043, Mean Fitness: 74.086443, Standard Deviation Fitness: 26.377888
Generation 15: Best Fitness: 93.202788, Mean Fitness: 77.959155, Standard Deviation Fitness: 19.664547
Generation 16: Best Fitness: 92.932142, Mean Fitness: 76.096392, Standard Deviation Fitness: 23.097634
Generation 17: Best Fitness: 93.336168, Mean Fitness: 78.439597, Standard Deviation Fitness: 20.312102
Generation 18: Best Fitness: 93.002788, Mean Fitness: 75.607453, Standard Deviation Fitness: 21.426860
Generation 19: Best Fitness: 92.647040, Mean Fitness: 75.670886, Standard Deviation Fitness: 24.538584
Generation 20: Best Fitness: 93.202788, Mean Fitness: 80.804086, Standard Deviation Fitness: 19.415133
Generation 21: Best Fitness: 92.658358, Mean Fitness: 75.421191, Standard Deviation Fitness: 26.629462
Generation 22: Best Fitness: 92.802788, Mean Fitness: 78.382779, Standard Deviation Fitness: 23.245492
Generation 23: Best Fitness: 92.867281, Mean Fitness: 80.464514, Standard Deviation Fitness: 21.952747
Generation 24: Best Fitness: 92.690612, Mean Fitness: 82.545767, Standard Deviation Fitness: 16.727029
Generation 25: Best Fitness: 93.409567, Mean Fitness: 85.927670, Standard Deviation Fitness: 11.723492
